CONFIGURATION_CONTEXT_IDENTITY,CONFIGURATION_CONTEXT_NAME,CONFIGURATION_CONTEXT_DESCRIPTION,CONFIGURATION_CONTEXT_IS_SERVER_FLAG,CONFIGURATION_CONTEXT_INFORMATION
"1","CMRunGroup          ","Cash Management Run Groups                        ","0",""
"2","GAGlobal            ","GoAnywhere Global Settings                        ","1",""
"3","GASettings          ","GoAnywhere Environmental Settings                 ","0",""
"4","Common              ","Common Settings for Server                        ","1",""
"5","Programs            ","Program specific behaviors and characteristics    ","0",""
"10","B2BRun              ","Business to Business Run Characteristics          ","0","These values can be used to control the behavior of the B2B Run Group Processing"
"7","RunSettings         ","Environment level run settings                    ","0","This context provides the ability to define and differentiate run characteristics by environment."
"8","B2BSites            ","Business to Business Remote Sites                 ","0",""
"9","LoanIQ              ","Loan IQ Configuration Variables                   ","0","This context applies to all Loan IQ Connection and operational parameters."
"11","Encryption          ","Encryption Configuration Values                   ","0",""
"12","CardinalDW          ","Cardinal Data Warehouse                           ","0","This defines varibles used within the OLD Cardinal Data Warehouse - associated with WH files and programs."
"13","Profitstar          ","ProfitStar related variables                      ","0",""
"14","SSI                 ","Smartstream Interface General Values              ","0","This Context contains all variables that are common to a single environment.  All Extents and Variables within this Context were relocated from the SSICTL table in the Smartstream database."
"15","SSIDataSets         ","Smartstream Data Sets (SSIDST values)             ","0","This Context contains variables that are specific to the SSI Data Sets.  A Data Set within the SSI  defines the iSeries database characteristics that are related to individual job steps (functions). Each Extent within this Context defines the specific data set value.  These values were relocated from the SSIDST table in the Smartstream database, and each context represents a single SSIDST row."
"16","SSISystems          ","Smartstream Systems (SSISYS values)               ","0","This Context contains variables that are specific to the SSI Systems.  A System within the SSI  defines the remote machine characteristics that are related to individual job steps (functions). Each Extent within this Context defines the specific system values.  These values were relocated from the SSISYS table in the Smartstream database, and each context represents a single SSISYS row.  It should be noted that only SSISYS rows where the SYS_ENVIR column contains the value '*RMT' is represented in this Context.  '*LCL' entries refer to the local iSeruies machine, and do not support any connection characteristics."
"17","SSITextFiles        ","Smartstream Text Files (SSIRPF values)            ","0","This Context contains variables that are specific to the SSI Text Files.  Within the SSI, the Remote Parameter Sets for Files defines the characteristics of connections to text files on non-iSeries boxes.  Each Extent within this Context defines the specific remote parameter set value. These values were relocated from the SSIRPF table in the Smartstream database, and each context represents a single SSIRPF row."
"18","SSISqlTables        ","Smartstream Sql Tables (SSIRPS values)            ","0","This Context contains variables that are specific to the SSI Sql Tables.  Within the SSI, the Remote Parameter Sets for SQL defines the characteristics of connections to SQL tables on non-iSeries boxes.  Each Extent within this Context defines the specific remote parameter set value. These values were relocated from the SSIRPS table in the Smartstream database, and each context represents a single SSIRPS row."
"19","SendSPLFile         ","Send Spool or DB File or Group of Files to FTP    ","0","Contains the information needed to send a spool or data base file to a FTP site."
"20","DataCopy            ","Data Copy                                         ","0",""
"21","Cardinal            ","Cardinal Loan Accounting System                   ","0",""
"22","GlobalTest          ","Test Global Scope                                 ","1",""
"23","OFAC                ","Office of Foriegn Assets Control                  ","0",""
