CONFIGURATION_VARIABLE_DEFINITION_IDENTITY,CONFIGURATION_EXTENT_IDENTITY,CONFIGURATION_VARIABLE_TYPE_IDENTITY,CONFIGURATION_VARIABLE_DEFINITION_NAME,CONFIGURATION_VARIABLE_DEFINITION_DESCRIPTION,CONFIGURATION_VALUES_ARE_RESTRICTED_FLAG,CONFIGURATION_VARIABLE_DEFINITION_INFORMATION
"63","38","1","CMProduct                                         ","Cash Mgmt Product                                 ","0",""
"64","39","1","CMProduct                                         ","Product for this Program                          ","0",""
"65","28","1","DeleteJoblogs                                     ","Delete GA Joblogs                                 ","1",""
"66","40","6","RemoteIPAddress                                   ","Remote IP Address                                 ","0",""
"67","40","1","RemotePassword                                    ","Remote Password                                   ","0",""
"68","40","1","RemotePath                                        ","Remote Path                                       ","0",""
"7","2","1","HostUser                                          ","iSeries User ID for connections                   ","0",""
"8","2","1","HostPassword                                      ","iSeries User Password for connections             ","0",""
"69","40","1","RemoteUser                                        ","Remote User                                       ","0",""
"1028","159","1","CMProduct                                         ","Cash Managment Product                            ","0",""
"1029","160","1","FromAddress                                       ","From Address                                      ","0",""
"12","4","6","HostIPAddress                                     ","Server IP address                                 ","0",""
"13","3","1","ProjectPath                                       ","IFS Location for Projects                         ","0",""
"1030","160","1","ToAddress                                         ","To Address                                        ","0",""
"1031","160","1","SubjectLine                                       ","Subject Line                                      ","0",""
"16","5","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"17","6","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"18","7","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"19","8","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"20","10","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"21","11","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"22","9","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"23","12","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"24","13","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"25","1","1","ImmediateOriginAcct                               ","Immediate Origin Account                          ","0",""
"26","1","1","ImmediateOriginName                               ","Immediate Origin Name                             ","0",""
"27","14","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"28","15","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"29","16","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"30","17","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"31","18","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"32","19","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"33","20","1","ErrorAction                                       ","How to respond to errors                          ","1","This variable defines exactly what action the universal trigger is to take when errors are encountered"
"34","21","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"35","22","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"36","23","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"37","24","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"38","25","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"39","26","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"40","27","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"41","3","1","DefaultProject                                    ","Default Project Name                              ","0",""
"42","28","1","DeleteStaging                                     ","Delete Staging Directory on normal end            ","1",""
"43","28","1","StagingPath                                       ","IFS Location for Staging Files                    ","0",""
"44","29","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"45","30","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"46","31","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"47","32","6","RemoteIPAddress                                   ","Remote IP Address                                 ","0",""
"48","32","1","RemoteUser                                        ","Remote User ID                                    ","0",""
"49","32","1","RemotePassword                                    ","Remote User Password                              ","0",""
"50","32","1","RemotePath                                        ","Remote Directory Path                             ","0",""
"51","33","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"52","34","1","CMProduct                                         ","Cash Management Product Name                      ","0",""
"74","42","6","RemoteIPAddress                                   ","Remote IP Address                                 ","0",""
"1000","37","1","Resource                                          ","LIQ SQL Server GoAnywhere Resource                ","0",""
"1001","37","1","DRDAName                                          ","DRDAName                                          ","0",""
"56","37","1","Schema                                            ","Remote Schema Name                                ","0",""
"57","35","1","User                                              ","User Name                                         ","0",""
"58","35","1","Password                                          ","Password                                          ","0",""
"59","36","1","User                                              ","User Name                                         ","0",""
"60","36","1","Password                                          ","Password                                          ","0",""
"75","42","1","RemotePassword                                    ","Remote Password                                   ","0",""
"1002","37","1","Name                                              ","Name                                              ","0",""
"76","42","1","RemotePath                                        ","Remote Path                                       ","0",""
"77","42","1","RemoteUser                                        ","Remote User                                       ","0",""
"79","43","1","Testing                                           ","Testing Mode                                      ","1",""
"80","44","1","KeyRing                                           ","Key Ring Name                                     ","0",""
"81","44","1","PassPhrase                                        ","Pass Phrase Value                                 ","0",""
"82","45","1","CMProduct                                         ","CM PRODUCT                                        ","0",""
"83","46","1","Module                                            ","Corporate Reporting Module Name                   ","0",""
"84","46","1","QEBundle                                          ","Quarter End Report Bundle Name                    ","0",""
"85","46","1","NonQEBundle                                       ","Non-Quarter End Report Bundle Name                ","0",""
"86","46","1","QEAppendixHeader                                  ","Quarter End Appendix Header Definition            ","0",""
"87","46","1","QEAppendixDetail                                  ","Quarter End Appendix Detail Definition            ","0",""
"88","46","1","NonQEAppendixDetail                               ","Non-Quarter End Appendix Detail Definition        ","0",""
"89","46","1","NonQEAppendixHeader                               ","Non-Quarter End Appendix Header Definition        ","0",""
"90","47","1","IsDudeDead                                        ","Has DUDE been replaced?                           ","1",""
"91","2","1","SMTPServer                                        ","SMTP Email Server Name                            ","0",""
"92","48","1","Module                                            ","Corporate Reporting Module Name                   ","0",""
"117","53","1","DefaultExtRefName                                 ","Default CMR External Reference Name               ","0",""
"118","53","1","DefaultModule                                     ","Default CMR Module Name                           ","0",""
"119","53","1","DistrictExtRefName                                ","District CMR External Reference Name              ","0",""
"96","48","1","AppendixDetail                                    ","Appendix Detail Definition                        ","0",""
"97","48","1","AppendixHeader                                    ","Appendix Header Definition                        ","0",""
"98","48","1","Bundle                                            ","Report Bundle Name                                ","0",""
"99","50","6","IPAddress                                         ","IP Address                                        ","0",""
"100","50","1","User                                              ","User name                                         ","0",""
"101","50","1","Password                                          ","Password                                          ","0",""
"102","50","1","RemoteExe                                         ","Remote Executable Name                            ","0",""
"103","49","1","User                                              ","User Name                                         ","0",""
"104","49","1","Password                                          ","Password                                          ","0",""
"105","49","6","IPAddress                                         ","IP Address                                        ","0",""
"106","49","1","RemoteExe                                         ","Remote Executable Name                            ","0",""
"107","51","1","User                                              ","User Name                                         ","0",""
"108","51","1","Password                                          ","Password                                          ","0",""
"109","51","6","IPAddress                                         ","IP Address                                        ","0",""
"110","51","1","RemoteExe                                         ","Remote Executable Name                            ","0",""
"111","52","1","DefaultModule                                     ","Default CR Module Name                            ","0",""
"112","52","1","DistrictModule                                    ","District CR Module Name                           ","0",""
"113","52","1","DefaultExtRefName                                 ","Default CR External Reference Name                ","0",""
"114","52","1","DistrictExtRefName                                ","District CR External Reference Name               ","0",""
"115","52","1","DefaultHeader                                     ","Default SIC External Text Column Header Value     ","0",""
"116","52","1","DistrictHeader                                    ","District SIC External Text Column Header Value    ","0",""
"120","53","1","DistrictModule                                    ","District CMR Module Name                          ","0",""
"121","2","1","SMTPSender                                        ","SMTP Email Default Sender Name                    ","0","This value is the default ""from"" email address used by GA projects when sending emails"
"837","54","1","EncryptedFile                                     ","Encrypted File                                    ","0",""
"808","54","1","Action                                            ","Action                                            ","0",""
