CONFIGURATION_VARIABLE_VALID_VALUE_IDENTITY,CONFIGURATION_VARIABLE_DEFINITION_IDENTITY,CONFIGURATION_VARIABLE_VALID_VALUE,CONFIGURATION_VARIABLE_VALID_VALUE_DESCRIPTION,CONFIGURATION_VARIABLE_VALID_VALUE_INFORMATION
"1","33","*CANCEL","Cancel the trigger with a *ESCAPE message         ","If any error is enocuntered during the execution of a trigger program, this action is taken.  This is the default action."
"2","33","*PROMPT","Prompt QSYSOPR and ask what to do                 ","If any error is encountered during the execution of a trigger program, the operator will be prompted for a C, R or I response, and the universal trigger will act accordingly."
"3","33","*IGNORE","Ignore all errors - but write to joblog           ","If any error is encountered during the execution of a trigger program, the program will write the error to the joblog and ignore."
"4","42","*YES","Yes - Delete Staging Directory                    ",""
"5","42","*NO","No - Do not delete Staging Directory              ",""
"6","65","*YES","Yes                                               ",""
"7","65","*NO","No                                                ",""
"8","79","*YES","Run Group in Testing mode                         ","When in testing mode, no program calls, IFS functions, or MFT projects are run - they are just lgged and skipped.  This is to allow continuity testing without altering data."
"9","79","*NO","Run Group in normal mode                          ","B2B processing is in normal production mode."
"10","90","YES","Yes - DUDE is dead                                ",""
"11","90","NO","No - DUDE is not dead                             ",""
"12","476","YES","Use Config values within SSI                      ",""
"13","476","NO","Use SSI data file values within SSI               ",""
