CONFIGURATION_EXTENT_IDENTITY,CONFIGURATION_CONTEXT_IDENTITY,CONFIGURATION_EXTENT_NAME,CONFIGURATION_EXTENT_DESCRIPTION,CONFIGURATION_EXTENT_INFORMATION
"1","1","NACHA               ","Combined Nacha Run Group                          ",""
"2","2","Connections         ","Connection Settings                               ",""
"3","3","Projects            ","GA Project Variables                              ",""
"4","4","Connections         ","Connection Settings                               ",""
"5","5","FC0640              ","Fastca$h NACHA load                               ",""
"6","5","FC0642              ","Fastca$h NACHA load                               ",""
"7","5","FC0200              ","FastCa$h Last Process Date                        ","Cash Management Product FastCash uses the Last Processed Date so program FC0200 needs to be related to it so the correct Cash Management Product is used to find the date."
"8","0","FC0300              ","FastCa$h Last Processing Date                     ","Cash Management Product FastCash uses the Last Processed Date so program FC0300 needs to be related to it so the correct Cash Management Product is used to find the date."
"9","0","FC0900              ","FastCash Last Process Date                        ","Cash Management Product FastCash uses the Last Processed Date so program FC0900 needs to be related to it so the correct Cash Management Product is used to find the date."
"10","5","FC0644              ","Fastca$h NACHA load                               ",""
"11","5","FC0646              ","Fastca$h NACHA load                               ",""
"12","5","OL1220              ","AgBanking Online NACHA load                       ",""
"13","5","OL1231              ","AgBanking Online NACHA load                       ",""
"14","5","LA1306              ","AgSweep Prenotification Transactions              ",""
"15","5","LA1332              ","AgSweep Transaction File Build                    ","CMProduct"
"16","5","LA1333              ","AgSweep Calculate ACH Amounts                     ","CMProduct"
"17","5","LA1336              ","AgSweep Create Cash Control Transactions          ","CMProduct"
"18","5","LA1341              ","AgSweep Direct Note Transactions                  ","CMProduct"
"19","5","LA1346              ","AgSweep Send NACHA File to Commercial Bank        ","CMProduct"
"20","7","Triggers            ","Trigger Run Characteristics                       ","Defines run attributes for triggered files"
"21","5","AC2119              ","P.A.I.D Paper Draft NACHA Load Error Report       ",""
"22","5","AC2120              ","P.A.I.D Paper Draft NACHA Load                    ",""
"23","5","LA1300C             ","AgSweep Control program                           ",""
